"Case_Type","Cases","Difference","Date","Province_State","Admin2","Lat","Long"
"Confirmed",0,0,2020-02-16,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-17,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-18,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-19,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-20,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-21,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-22,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-23,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-24,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-25,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-26,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-27,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-28,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-29,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-01,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-02,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-03,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-04,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-05,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-06,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-07,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-08,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-09,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-10,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-11,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-12,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-13,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-14,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-15,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-16,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-17,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-18,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-19,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-20,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-21,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-22,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-23,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-24,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-25,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-26,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-27,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-28,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-29,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-03-30,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",1,1,2020-03-31,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",1,0,2020-04-01,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",1,0,2020-04-02,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",1,0,2020-04-03,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",1,0,2020-04-04,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",1,0,2020-04-05,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",6,5,2020-04-06,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",6,0,2020-04-07,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",6,0,2020-04-08,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",6,0,2020-04-09,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",6,0,2020-04-10,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-01-22,"Colorado","Baca",37.31940883,-102.5603223
"Confirmed",0,0,2020-01-23,"Colorado","Baca",37.31940883,-102.5603223
"Confirmed",0,0,2020-01-24,"Colorado","Baca",37.31940883,-102.5603223
